业务域编号,业务域,流程组编号,流程组名称,流程编号,流程名称,子流程编号,子流程名称,信息流图名称,业务表名称,是否输出业务项,线上线下输出物名称,对比业务表名称,SAP模块代码,SAP口令代码,目前表号,新表号,权威数据源系统1,权威数据源系统2,是否已挂附件,系统名称,操作,数据分布表编号,数据分布表名称,表责任部门,问题或建议,核查结果,来源文件,来源部门
,集成研发,,,12.1.1,设计和开发策划,,,12.1.1设计和开发策划信息流图,项目主阶段计划（I层）,否,项目主阶段计划（I层）,一致,,,,,线下EXCEL,,,,U,否,项目主阶段计划（I层）,项目管理部,,,集成研发/一图三表汇总清单 - 集成研发业务域20251030.xlsx,,
,集成研发,,,12.1.1,设计和开发策划,,,12.1.1设计和开发策划信息流图,研发IPT团队名单,是,研发IPT团队名单,一致,,,FM1201-02,,线下EXCEL,,,,C,FM1201-02,研发IPT团队名单,工程研发事业部,,,集成研发/一图三表汇总清单 - 集成研发业务域20251030.xlsx,,
,集成研发,,,12.1.1,设计和开发策划,,,12.1.1设计和开发策划信息流图,项目产品分解结构(PBS),是,项目产品分解结构(PBS),一致,,,FM1201-05,,线下EXCEL,,,,C,FM1201-05,项目产品分解结构(PBS),工程研发事业部,,,集成研发/一图三表汇总清单 - 集成研发业务域20251030.xlsx,,
,集成研发,,,12.1.1,设计和开发策划,,,12.1.1设计和开发策划信息流图,设计关键点清单,是,设计关键点清单,一致,,,FM1201-04,,线下EXCEL,,,,C,FM1201-04,设计关键点清单,工程研发事业部,,,集成研发/一图三表汇总清单 - 集成研发业务域20251030.xlsx,,
,集成研发,,,12.1.1,设计和开发策划,,,12.1.1设计和开发策划信息流图,设计输入清单,是,设计输入清单,一致,,,FM1201-03,,线下EXCEL,,,,C,FM1201-03,设计输入清单,工程研发事业部,,,集成研发/一图三表汇总清单 - 集成研发业务域20251030.xlsx,,
,集成研发,,,12.1.1,设计和开发策划,,,12.1.1设计和开发策划信息流图,研发项目工作分解结构（WBS）,否,研发项目工作分解结构（WBS）,一致,,,,,线下EXCEL,,,,U,否,研发项目工作分解结构（WBS）,项目管理部,,,集成研发/一图三表汇总清单 - 集成研发业务域20251030.xlsx,,
,集成研发,,,12.1.1,设计和开发策划,,,12.1.1设计和开发策划信息流图,资源需求计划,是,资源需求计划,一致,,,,报告类无表单,纸质,,,,C,报告类无表单,资源需求计划,工程研发事业部,,,集成研发/一图三表汇总清单 - 集成研发业务域20251030.xlsx,,
,集成研发,,,12.1.1,设计和开发策划,,,12.1.1设计和开发策划信息流图,项目资源获取评估表,是,项目资源获取评估表,一致,,,FM1201-01,,线下EXCEL,,,,C,FM1201-01,项目资源获取评估表,工程研发事业部,,,集成研发/一图三表汇总清单 - 集成研发业务域20251030.xlsx,,
,集成研发,,,12.1.1,设计和开发策划,,,12.1.1设计和开发策划信息流图,DRD列表,是,DRD列表,一致,,,FM1201-09,,线下EXCEL,,,,C,FM1201-09,DRD列表,工程研发事业部,,,集成研发/一图三表汇总清单 - 集成研发业务域20251030.xlsx,,
,集成研发,,,12.1.1,设计和开发策划,,,12.1.1设计和开发策划信息流图,DRD进度控制列表,是,DRD进度控制列表,一致,,,FM1201-08,,线下EXCEL,,,,C,FM1201-08,DRD进度控制列表,工程研发事业部,,,集成研发/一图三表汇总清单 - 集成研发业务域20251030.xlsx,,
,集成研发,,,12.1.1,设计和开发策划,,,12.1.1设计和开发策划信息流图,项目主阶段计划（II层）,否,项目主阶段计划（II层）,一致,,,,,线下EXCEL,,,,U,否,项目主阶段计划（II层）,项目管理部,,,集成研发/一图三表汇总清单 - 集成研发业务域20251030.xlsx,,
,集成研发,,,12.1.1,设计和开发策划,,,12.1.1设计和开发策划信息流图,风险管理计划,是,风险管理计划,一致,,,,报告类无表单,纸质,,,,C,报告类无表单,风险管理计划,工程研发事业部,,,集成研发/一图三表汇总清单 - 集成研发业务域20251030.xlsx,,
,集成研发,,,12.1.1,设计和开发策划,,,12.1.1设计和开发策划信息流图,项目实施方案报告,是,项目实施方案报告,一致,,,,报告类无表单,纸质,,,,C,报告类无表单,项目实施方案报告,工程研发事业部,,,集成研发/一图三表汇总清单 - 集成研发业务域20251030.xlsx,,
,集成研发,,,12.1.10,设计评审,,,12.1.10设计评审信息流图,评审申请表,是,评审申请表,一致,,,FM1201-39,,线下EXCEL,,,,C,FM1201-39,评审申请表,工程研发事业部,,,集成研发/一图三表汇总清单 - 集成研发业务域20251030.xlsx,,
,集成研发,,,12.1.10,设计评审,,,12.1.10设计评审信息流图,评审组名单,是,评审组名单,一致,,,FM1201-41,,线下EXCEL,,,,C,FM1201-41,评审组名单,工程研发事业部,,,集成研发/一图三表汇总清单 - 集成研发业务域20251030.xlsx,,
,集成研发,,,12.1.10,设计评审,,,12.1.10设计评审信息流图,评审大纲,是,评审大纲,一致,,,FM1201-40,,线下EXCEL,,,,C,FM1201-40,评审大纲,工程研发事业部,,,集成研发/一图三表汇总清单 - 集成研发业务域20251030.xlsx,,
,集成研发,,,12.1.10,设计评审,,,12.1.10设计评审信息流图,评审检查单,是,评审检查单,一致,,,FM1201-42,,线下EXCEL,,,,C,FM1201-42,评审检查单,工程研发事业部,,,集成研发/一图三表汇总清单 - 集成研发业务域20251030.xlsx,,
,集成研发,,,12.1.10,设计评审,,,12.1.10设计评审信息流图,评审意见行动项落实情况表,是,评审意见行动项落实情况表,一致,,,FM1201-43,,线下EXCEL,,,,C,FM1201-43,评审意见行动项落实情况表,工程研发事业部,,,集成研发/一图三表汇总清单 - 集成研发业务域20251030.xlsx,,
,集成研发,,,12.1.10,设计评审,,,12.1.10设计评审信息流图,评审报告,是,评审报告,一致,,,,报告类无表单,纸质,,,,C,报告类无表单,评审报告,工程研发事业部,,,集成研发/一图三表汇总清单 - 集成研发业务域20251030.xlsx,,
,集成研发,,,12.1.11,设计更改,,,12.1.11 设计更改,RFC,是,RFC,一致,,,FM1201-44,,线下EXCEL,,,,C,FM1201-44,RFC,工程研发事业部,,,集成研发/一图三表汇总清单 - 集成研发业务域20251030.xlsx,,
,集成研发,,,12.1.11,设计更改,,,12.1.11 设计更改,DCP,是,DCP,一致,,,FM1201-45,,线下EXCEL,,,,C,FM1201-45,DCP,工程研发事业部,,,集成研发/一图三表汇总清单 - 集成研发业务域20251030.xlsx,,
